"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Belarus";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"11913";""
"Belarus";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"12010";""
"Belarus";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"9900";""
"Belarus";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"10055";""
"Belarus";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"10461";""
"Belarus";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"10645";""
"Belarus";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"11555";""
"Belarus";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"11300";""
"Belarus";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"12378";""
"Belarus";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"19747";""
"Belgium";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"32188";""
"Belgium";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"27618";""
"Belgium";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"31569";""
"Belgium";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"29853";""
"Belgium";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"33284";""
"Belgium";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"31224";""
"Belgium";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"33825";""
"Belgium";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"32976";""
"Belgium";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"31552";""
"Belgium";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"31965";""
"Belgium";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"34407";""
"Belgium";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"36245";""
"Belgium";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"33440";""
"Belgium";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"31941";""
"Belgium";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"34002";""
"Belgium";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"32128";""
"Belgium";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"34661";""
"Belgium";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"32787";""
"Belgium";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"31591";""
"Belgium";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"26315";""
"Belgium";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"28372";""
"Belgium";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"27558";""
"Belgium";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"29043";""
"Belgium";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"28634";""
"Belgium";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"25091";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"934";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"1017";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"1006";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"1161";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"1107";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"932";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"106";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"13";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"18";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"135";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"172";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"70";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"233";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"254";""
"Bosnia and Herzegovina";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"519";""
"Brazil";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"17757";""
"Brazil";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"20006";""
"Brazil";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"17495";""
