"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1992";"Terajoules";"95653";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1991";"Terajoules";"98006";""
"Bolivia (Plur. State of)";"Natural gas (including LNG) - exports";"1990";"Terajoules";"99125";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2014";"Terajoules";"324848";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2013";"Terajoules";"359143";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2012";"Terajoules";"343653";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2011";"Terajoules";"350476";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2010";"Terajoules";"353186";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2009";"Terajoules";"372663";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2008";"Terajoules";"394051";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2007";"Terajoules";"383698";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2006";"Terajoules";"426723";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2005";"Terajoules";"401876";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2004";"Terajoules";"411413";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2003";"Terajoules";"423510";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2002";"Terajoules";"389562";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2001";"Terajoules";"386604";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"2000";"Terajoules";"379008";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1999";"Terajoules";"340797";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1998";"Terajoules";"341500";"1"
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1997";"Terajoules";"357175";"1"
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1996";"Terajoules";"359400";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1995";"Terajoules";"359800";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1994";"Terajoules";"329600";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1993";"Terajoules";"318000";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1992";"Terajoules";"304200";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1991";"Terajoules";"302900";""
"Brunei Darussalam";"Natural gas (including LNG) - exports";"1990";"Terajoules";"315000";"1"
"Bulgaria";"Natural gas (including LNG) - exports";"2014";"Terajoules";"73";""
"Canada";"Natural gas (including LNG) - exports";"2014";"Terajoules";"3040885";""
"Canada";"Natural gas (including LNG) - exports";"2013";"Terajoules";"3203183";""
"Canada";"Natural gas (including LNG) - exports";"2012";"Terajoules";"3420362";""
"Canada";"Natural gas (including LNG) - exports";"2011";"Terajoules";"3575218";""
"Canada";"Natural gas (including LNG) - exports";"2010";"Terajoules";"3682104";""
"Canada";"Natural gas (including LNG) - exports";"2009";"Terajoules";"3660085";""
"Canada";"Natural gas (including LNG) - exports";"2008";"Terajoules";"3978374";""
"Canada";"Natural gas (including LNG) - exports";"2007";"Terajoules";"4148026";""
"Canada";"Natural gas (including LNG) - exports";"2006";"Terajoules";"3898243";""
"Canada";"Natural gas (including LNG) - exports";"2005";"Terajoules";"4065936";""
"Canada";"Natural gas (including LNG) - exports";"2004";"Terajoules";"4022042";""
"Canada";"Natural gas (including LNG) - exports";"2003";"Terajoules";"3876239";""
"Canada";"Natural gas (including LNG) - exports";"2002";"Terajoules";"4103366";""
"Canada";"Natural gas (including LNG) - exports";"2001";"Terajoules";"4120413";""
"Canada";"Natural gas (including LNG) - exports";"2000";"Terajoules";"3846343";""
"Canada";"Natural gas (including LNG) - exports";"1999";"Terajoules";"3626971";""
"Canada";"Natural gas (including LNG) - exports";"1998";"Terajoules";"3403358";""
"Canada";"Natural gas (including LNG) - exports";"1997";"Terajoules";"3118037";""
"Canada";"Natural gas (including LNG) - exports";"1996";"Terajoules";"3052458";""
"Canada";"Natural gas (including LNG) - exports";"1995";"Terajoules";"3011066";""
"Canada";"Natural gas (including LNG) - exports";"1994";"Terajoules";"2752595";""
"Canada";"Natural gas (including LNG) - exports";"1993";"Terajoules";"2395257";""
"Canada";"Natural gas (including LNG) - exports";"1992";"Terajoules";"2193148";""
"Canada";"Natural gas (including LNG) - exports";"1991";"Terajoules";"1804035";""
"Canada";"Natural gas (including LNG) - exports";"1990";"Terajoules";"1537221";""
"Chile";"Natural gas (including LNG) - exports";"1998";"Terajoules";"581";""
"Chile";"Natural gas (including LNG) - exports";"1997";"Terajoules";"1824";""
"Chile";"Natural gas (including LNG) - exports";"1996";"Terajoules";"1368";""
"Chile";"Natural gas (including LNG) - exports";"1995";"Terajoules";"2673";""
"Chile";"Natural gas (including LNG) - exports";"1994";"Terajoules";"3325";""
"China";"Natural gas (including LNG) - exports";"2014";"Terajoules";"97211.3";""
"China";"Natural gas (including LNG) - exports";"2013";"Terajoules";"102279";""
"China";"Natural gas (including LNG) - exports";"2012";"Terajoules";"107681.4";""
"China";"Natural gas (including LNG) - exports";"2011";"Terajoules";"118784.9";""
"China";"Natural gas (including LNG) - exports";"2010";"Terajoules";"150157.8";""
"China";"Natural gas (including LNG) - exports";"2009";"Terajoules";"119567.3";""
"China";"Natural gas (including LNG) - exports";"2008";"Terajoules";"120908.7";""
"China";"Natural gas (including LNG) - exports";"2007";"Terajoules";"96876";""
