LOCATION,MEASURE,TIME,Value
FIN,IDX2010,2005,94.23333
FIN,IDX2010,2006,97.29166
FIN,IDX2010,2007,99.79166
FIN,IDX2010,2008,103.4083
FIN,IDX2010,2009,95.56667
FIN,IDX2010,2010,100.0083
FIN,IDX2010,2011,105.5
FIN,IDX2010,2012,107.1667
FIN,IDX2010,2013,106.375
FIN,IDX2010,2014,105.65
FIN,IDX2010,2015,103.6667
FIN,IDX2010,2016,101.0333
FRA,AGRWTH,1996,-0.6242568
FRA,AGRWTH,1997,-0.4187855
FRA,AGRWTH,1998,-0.9812757
FRA,AGRWTH,1999,0.1415714
FRA,AGRWTH,2000,5.483187
FRA,AGRWTH,2001,2.086923
FRA,AGRWTH,2002,0.4032258
FRA,AGRWTH,2003,0.4016064
FRA,AGRWTH,2004,2.046512
FRA,AGRWTH,2005,2.798542
FRA,AGRWTH,2006,2.908575
FRA,AGRWTH,2007,2.317966
FRA,AGRWTH,2008,4.227725
FRA,AGRWTH,2009,-5.147059
FRA,AGRWTH,2010,2.223358
FRA,AGRWTH,2011,4.366667
FRA,AGRWTH,2012,1.81252
FRA,AGRWTH,2013,-0.2980158
FRA,AGRWTH,2014,-1.116967
FRA,AGRWTH,2015,-2.100072
FRA,AGRWTH,2016,-1.901357
FRA,IDX2010,1995,84.1
FRA,IDX2010,1996,83.575
FRA,IDX2010,1997,83.225
FRA,IDX2010,1998,82.40833
FRA,IDX2010,1999,82.525
FRA,IDX2010,2000,87.05
FRA,IDX2010,2001,88.86667
FRA,IDX2010,2002,89.225
FRA,IDX2010,2003,89.58334
FRA,IDX2010,2004,91.41666
FRA,IDX2010,2005,93.975
FRA,IDX2010,2006,96.70834
FRA,IDX2010,2007,98.95
FRA,IDX2010,2008,103.1333
FRA,IDX2010,2009,97.825
FRA,IDX2010,2010,100
FRA,IDX2010,2011,104.3667
FRA,IDX2010,2012,106.2583
FRA,IDX2010,2013,105.9417
FRA,IDX2010,2014,104.7583
FRA,IDX2010,2015,102.5583
FRA,IDX2010,2016,100.6083
DEU,AGRWTH,1996,0.1593032
DEU,AGRWTH,1997,0.9249095
DEU,AGRWTH,1998,-0.06594893
DEU,AGRWTH,1999,-0.3299623
DEU,AGRWTH,2000,3.194462
DEU,AGRWTH,2001,1.141572
DEU,AGRWTH,2002,0.1482946
DEU,AGRWTH,2003,0.2467917
DEU,AGRWTH,2004,1.198096
DEU,AGRWTH,2005,1.738529
DEU,AGRWTH,2006,1.899525
DEU,AGRWTH,2007,1.790532
DEU,AGRWTH,2008,2.465863
DEU,AGRWTH,2009,-2.735753
DEU,AGRWTH,2010,2.626894
DEU,AGRWTH,2011,3.516667
DEU,AGRWTH,2012,1.545645
DEU,AGRWTH,2013,-0.237831
DEU,AGRWTH,2014,-0.2145582
DEU,AGRWTH,2015,-0.08760054
DEU,AGRWTH,2016,-0.6775068
DEU,IDX2010,1995,86.7763
DEU,IDX2010,1996,86.91454
DEU,IDX2010,1997,87.71842
DEU,IDX2010,1998,87.66057
DEU,IDX2010,1999,87.37132
DEU,IDX2010,2000,90.16237
DEU,IDX2010,2001,91.19164
DEU,IDX2010,2002,91.32687
DEU,IDX2010,2003,91.55225
DEU,IDX2010,2004,92.64914
DEU,IDX2010,2005,94.25987
DEU,IDX2010,2006,96.05036
DEU,IDX2010,2007,97.77017
DEU,IDX2010,2008,100.1811
DEU,IDX2010,2009,97.44035
DEU,IDX2010,2010,100
DEU,IDX2010,2011,103.5167
DEU,IDX2010,2012,105.1167
DEU,IDX2010,2013,104.8667
DEU,IDX2010,2014,104.6417
DEU,IDX2010,2015,104.55
DEU,IDX2010,2016,103.8417
GRC,AGRWTH,1995,6.337281
GRC,AGRWTH,1996,6.5823
GRC,AGRWTH,1997,3.069201
GRC,AGRWTH,1998,2.715091
GRC,AGRWTH,1999,2.06222
GRC,AGRWTH,2000,8.283527
GRC,AGRWTH,2001,2.546722
GRC,AGRWTH,2002,1.756374
GRC,AGRWTH,2003,1.336303
GRC,AGRWTH,2004,4.139194
GRC,AGRWTH,2005,5.522336
GRC,AGRWTH,2006,6.983333
GRC,AGRWTH,2007,3.48964
GRC,AGRWTH,2008,8.806262
GRC,AGRWTH,2009,-6.848368
GRC,AGRWTH,2010,7.433537
GRC,AGRWTH,2011,8.633442
GRC,AGRWTH,2012,3.773011
GRC,AGRWTH,2013,-2.024369
GRC,AGRWTH,2014,-2.744477
GRC,AGRWTH,2015,-8.899915
GRC,AGRWTH,2016,-5.480385
GRC,IDX2010,1995,57.28152
GRC,IDX2010,1996,61.05196
GRC,IDX2010,1997,62.92577
GRC,IDX2010,1998,64.63426
GRC,IDX2010,1999,65.96716
GRC,IDX2010,2000,71.43157
GRC,IDX2010,2001,73.25073
GRC,IDX2010,2002,74.53729
GRC,IDX2010,2003,75.53333
GRC,IDX2010,2004,78.65981
GRC,IDX2010,2005,83.00366
GRC,IDX2010,2006,88.80009
GRC,IDX2010,2007,91.89889
GRC,IDX2010,2008,99.99174
GRC,IDX2010,2009,93.14394
GRC,IDX2010,2010,100.0678
GRC,IDX2010,2011,108.7071
GRC,IDX2010,2012,112.8087
GRC,IDX2010,2013,110.525
GRC,IDX2010,2014,107.4917
GRC,IDX2010,2015,97.925
GRC,IDX2010,2016,92.55833
HUN,AGRWTH,1998,10.64974
HUN,AGRWTH,1999,4.717718
HUN,AGRWTH,2000,11.5832
HUN,AGRWTH,2001,5.049204
HUN,AGRWTH,2002,-1.505866
HUN,AGRWTH,2003,1.377778
HUN,AGRWTH,2004,3.060061
HUN,AGRWTH,2005,2.101412
HUN,AGRWTH,2006,5.382885
HUN,AGRWTH,2007,-1.684194
HUN,AGRWTH,2008,2.645971
HUN,AGRWTH,2009,4.76377
HUN,AGRWTH,2010,3.454703
HUN,AGRWTH,2011,4.574619
HUN,AGRWTH,2012,3.760956
HUN,AGRWTH,2013,1.282445
HUN,AGRWTH,2014,0.796118
HUN,AGRWTH,2015,-0.7823078
HUN,AGRWTH,2016,-1.023503
HUN,IDX2010,1998,67.27481
HUN,IDX2010,1999,70.44865
HUN,IDX2010,2000,78.60885
HUN,IDX2010,2001,82.57797
HUN,IDX2010,2002,81.33446
HUN,IDX2010,2003,82.45507
HUN,IDX2010,2004,84.97824
HUN,IDX2010,2005,86.76398
HUN,IDX2010,2006,91.43439
HUN,IDX2010,2007,89.89446
HUN,IDX2010,2008,92.27304
HUN,IDX2010,2009,96.66872
HUN,IDX2010,2010,100.0083
HUN,IDX2010,2011,104.5833
HUN,IDX2010,2012,108.5167
HUN,IDX2010,2013,109.9083
HUN,IDX2010,2014,110.7833
HUN,IDX2010,2015,109.9167
HUN,IDX2010,2016,108.7917
IRL,AGRWTH,1969,7.167336
IRL,AGRWTH,1970,5.29708
IRL,AGRWTH,1971,5.420326
IRL,AGRWTH,1972,10.39366
IRL,AGRWTH,1973,17.62557
IRL,AGRWTH,1974,13.52781
IRL,AGRWTH,1975,24.41611
IRL,AGRWTH,1976,18.33694
IRL,AGRWTH,1977,17.74979
IRL,AGRWTH,1978,9.054846
IRL,AGRWTH,1979,11.84564
IRL,AGRWTH,1980,10.90215
IRL,AGRWTH,1981,15.93778
IRL,AGRWTH,1982,11.81128
IRL,AGRWTH,1983,6.806332
IRL,AGRWTH,1984,6.77779
IRL,AGRWTH,1985,3.48426
IRL,AGRWTH,1986,-1.233436
IRL,AGRWTH,1987,1.68762
IRL,AGRWTH,1988,4.099246
IRL,AGRWTH,1989,4.758867
IRL,AGRWTH,1990,-1.605537
IRL,AGRWTH,1991,0.8661352
IRL,AGRWTH,1992,1.633058
IRL,AGRWTH,1993,4.609235
IRL,AGRWTH,1994,1.11776
