LOCATION,SUBJECT,TIME,Value
CAN,CONSTR,1985,57.48985
CAN,CONSTR,1986,59.67873
CAN,CONSTR,1987,62.76133
CAN,CONSTR,1988,64.56578
CAN,CONSTR,1989,67.9931
CAN,CONSTR,1990,68.31229
CAN,CONSTR,1991,62.91454
CAN,CONSTR,1992,58.26582
CAN,CONSTR,1993,56.20602
CAN,CONSTR,1994,57.92393
CAN,CONSTR,1995,56.22053
CAN,CONSTR,1996,58.22691
CAN,CONSTR,1997,61.4893
CAN,CONSTR,1998,63.42402
CAN,CONSTR,1999,66.37816
CAN,CONSTR,2000,69.83659
CAN,CONSTR,2001,74.8931
CAN,CONSTR,2002,78.11359
CAN,CONSTR,2003,80.72701
CAN,CONSTR,2004,85.35764
CAN,CONSTR,2005,89.44611
CAN,CONSTR,2006,92.86534
CAN,CONSTR,2007,96.72127
CAN,CONSTR,2008,99.22224
CAN,CONSTR,2009,93.03896
CAN,CONSTR,2010,100
CAN,CONSTR,2011,103.4568
CAN,CONSTR,2012,111.3756
CAN,CONSTR,2013,116.0252
CAN,CONSTR,2014,118.6303
CAN,CONSTR,2015,113.7885
CAN,CONSTR,2016,110.4851
CAN,MFG,1961,26.76616
CAN,MFG,1962,29.86956
CAN,MFG,1963,31.84133
CAN,MFG,1964,34.94004
CAN,MFG,1965,38.36309
CAN,MFG,1966,40.88817
CAN,MFG,1967,41.69235
CAN,MFG,1968,44.41437
CAN,MFG,1969,47.43493
CAN,MFG,1970,45.45535
CAN,MFG,1971,48.36025
CAN,MFG,1972,52.38584
CAN,MFG,1973,57.7361
CAN,MFG,1974,59.15924
CAN,MFG,1975,54.85387
CAN,MFG,1976,59.33039
CAN,MFG,1977,61.28731
CAN,MFG,1978,64.68925
CAN,MFG,1979,67.29561
CAN,MFG,1980,64.21331
CAN,MFG,1981,65.75368
CAN,MFG,1982,58.56087
CAN,MFG,1983,61.66563
CAN,MFG,1984,69.94157
CAN,MFG,1985,73.45121
CAN,MFG,1986,74.23894
CAN,MFG,1987,77.62051
CAN,MFG,1988,82.68563
CAN,MFG,1989,84.03661
CAN,MFG,1990,80.95319
CAN,MFG,1991,75.2477
CAN,MFG,1992,76.38039
CAN,MFG,1993,80.56552
CAN,MFG,1994,86.62977
CAN,MFG,1995,91.06656
CAN,MFG,1996,92.06513
CAN,MFG,1997,98.07153
CAN,MFG,1998,102.9709
CAN,MFG,1999,111.3361
CAN,MFG,2000,123.769
CAN,MFG,2001,117.7009
CAN,MFG,2002,118.6449
CAN,MFG,2003,117.6587
CAN,MFG,2004,119.9675
CAN,MFG,2005,122.0906
CAN,MFG,2006,120.3441
CAN,MFG,2007,117.6665
CAN,MFG,2008,111.1375
CAN,MFG,2009,95.59387
CAN,MFG,2010,100
CAN,MFG,2011,103.4825
CAN,MFG,2012,105.1361
CAN,MFG,2013,104.4274
CAN,MFG,2014,107.9325
CAN,MFG,2015,108.1249
CAN,MFG,2016,109.0309
CAN,TOT,1961,25.7968
CAN,TOT,1962,28.35403
CAN,TOT,1963,30.18039
CAN,TOT,1964,33.18346
CAN,TOT,1965,36.13134
CAN,TOT,1966,38.45025
CAN,TOT,1967,39.6657
CAN,TOT,1968,42.50264
CAN,TOT,1969,45.25042
CAN,TOT,1970,44.71859
CAN,TOT,1971,47.21903
CAN,TOT,1972,51.37333
CAN,TOT,1973,57.23776
CAN,TOT,1974,58.07478
CAN,TOT,1975,53.79097
CAN,TOT,1976,57.29561
CAN,TOT,1977,59.31199
CAN,TOT,1978,61.80818
CAN,TOT,1979,64.81709
CAN,TOT,1980,62.78426
CAN,TOT,1981,62.75023
CAN,TOT,1982,57.94734
CAN,TOT,1983,61.10454
CAN,TOT,1984,68.72503
CAN,TOT,1985,72.21487
CAN,TOT,1986,71.67079
CAN,TOT,1987,74.67068
CAN,TOT,1988,79.62717
CAN,TOT,1989,79.38057
CAN,TOT,1990,77.19542
CAN,TOT,1991,74.44629
CAN,TOT,1992,75.39012
CAN,TOT,1993,79.02987
CAN,TOT,1994,83.96554
CAN,TOT,1995,87.81927
CAN,TOT,1996,88.86344
CAN,TOT,1997,93.87801
CAN,TOT,1998,97.15764
CAN,TOT,1999,102.8675
CAN,TOT,2000,111.7477
CAN,TOT,2001,107.248
CAN,TOT,2002,108.9398
CAN,TOT,2003,109.0421
CAN,TOT,2004,110.8366
CAN,TOT,2005,112.9998
CAN,TOT,2006,112.3435
CAN,TOT,2007,111.4276
CAN,TOT,2008,107.736
CAN,TOT,2009,95.41283
CAN,TOT,2010,100
CAN,TOT,2011,104.8612
CAN,TOT,2012,104.8705
CAN,TOT,2013,106.4261
CAN,TOT,2014,110.8337
CAN,TOT,2015,110.0191
CAN,TOT,2016,110.454
CZE,CONSTR,1995,72.99296
CZE,CONSTR,1996,76.81292
CZE,CONSTR,1997,73.80196
CZE,CONSTR,1998,68.61338
CZE,CONSTR,1999,64.09389
CZE,CONSTR,2000,67.52457
CZE,CONSTR,2001,74.54087
CZE,CONSTR,2002,76.81035
CZE,CONSTR,2003,83.94702
CZE,CONSTR,2004,91.37446
CZE,CONSTR,2005,96.092
CZE,CONSTR,2006,101.9082
CZE,CONSTR,2007,109.0909
CZE,CONSTR,2008,109.0409
CZE,CONSTR,2009,108.041
CZE,CONSTR,2010,100
CZE,CONSTR,2011,96.43363
CZE,CONSTR,2012,89.10091
CZE,CONSTR,2013,83.10974
CZE,CONSTR,2014,86.69277
CZE,CONSTR,2015,92.78394
CZE,CONSTR,2016,85.71786
CZE,MFG,1991,68.89937
CZE,MFG,1992,57.90345
CZE,MFG,1993,53.46264
CZE,MFG,1994,53.55696
CZE,MFG,1995,57.85629
CZE,MFG,1996,58.82113
CZE,MFG,1997,62.55986
CZE,MFG,1998,64.19043
CZE,MFG,1999,62.92167
CZE,MFG,2000,65.66821
CZE,MFG,2001,70.55833
CZE,MFG,2002,72.225
